om,yr,mo,dy,date,time,ts,tz,st,slat,slon,elat,elon
657521,2021,1,6,1/6/2021,11:53:00,1/6/21 11:53:00,3,TX,30.76,-96.75,30.76,-96.75
657522,2021,1,6,1/6/2021,17:31:00,1/6/21 17:31:00,3,TX,29.4,-95.43,29.4,-95.43
657523,2021,1,6,1/6/2021,18:05:00,1/6/21 18:05:00,3,TX,29.46,-95.05,29.46,-95.05
657524,2021,1,6,1/6/2021,18:21:00,1/6/21 18:21:00,3,TX,29.54,-95.02,29.54,-95.02
657525,2021,1,24,1/24/2021,12:00:00,1/24/21 12:00:00,3,AZ,32.4764,-111.2364,32.4216,-111.1595
657526,2021,1,24,1/24/2021,14:35:00,1/24/21 14:35:00,3,TX,32.9339,-96.7895,32.9339,-96.7895
657527,2021,1,24,1/24/2021,14:45:00,1/24/21 14:45:00,3,TX,32.96,-96.73,32.96,-96.73
657528,2021,1,24,1/24/2021,23:00:00,1/24/21 23:00:00,3,TX,33.0356,-102.0328,33.0951,-101.6911
657529,2021,1,25,1/25/2021,0:30:00,1/25/21 0:30:00,3,TX,33.77,-99.17,33.77,-99.17
657530,2021,1,25,1/25/2021,0:37:00,1/25/21 0:37:00,3,TX,33.96,-98.68,33.96,-98.68
657531,2021,1,25,1/25/2021,0:38:00,1/25/21 0:38:00,3,TX,33.97,-98.69,33.97,-98.69
657532,2021,1,25,1/25/2021,4:15:00,1/25/21 4:15:00,3,TX,33.64,-97.15,33.64,-97.15
657533,2021,1,25,1/25/2021,5:15:00,1/25/21 5:15:00,3,OK,33.94,-96.39,33.94,-96.39
657534,2021,1,25,1/25/2021,6:34:00,1/25/21 6:34:00,3,TX,32.01,-97.12,32.01,-97.12
657535,2021,1,25,1/25/2021,6:43:00,1/25/21 6:43:00,3,TX,32.88,-96.06,32.88,-96.06
657536,2021,1,25,1/25/2021,7:10:00,1/25/21 7:10:00,3,TN,36.0812,-89.4433,36.0812,-89.4433
657537,2021,1,25,1/25/2021,7:15:00,1/25/21 7:15:00,3,TX,32.37,-96.28,32.37,-96.28
657538,2021,1,25,1/25/2021,7:24:00,1/25/21 7:24:00,3,TX,32.37,-96.1,32.37,-96.1
657539,2021,1,25,1/25/2021,15:29:00,1/25/21 15:29:00,3,MS,34.95,-90.13,34.95,-90.13
657540,2021,1,25,1/25/2021,15:30:00,1/25/21 15:30:00,3,MS,34.97,-90.03,34.97,-90.03
657541,2021,1,25,1/25/2021,15:35:00,1/25/21 15:35:00,3,MS,34.992,-90.0118,34.992,-90.0118
657542,2021,1,25,1/25/2021,15:40:00,1/25/21 15:40:00,3,TN,35.049,-89.8441,35.049,-89.8441
657543,2021,1,25,1/25/2021,15:45:00,1/25/21 15:45:00,3,TN,35.02,-90.03,35.02,-90.03
657544,2021,1,25,1/25/2021,15:45:00,1/25/21 15:45:00,3,TN,35.0843,-89.7772,35.0843,-89.7772
657545,2021,1,25,1/25/2021,16:05:00,1/25/21 16:05:00,3,TN,35.0208,-89.89,35.0208,-89.89
657546,2021,1,25,1/25/2021,17:10:00,1/25/21 17:10:00,3,KY,37.11,-85.03,37.11,-85.03
657547,2021,1,25,1/25/2021,17:30:00,1/25/21 17:30:00,3,KY,37.2801,-84.651,37.2801,-84.651
657548,2021,1,25,1/25/2021,17:49:00,1/25/21 17:49:00,3,KY,37.35,-84.4,37.35,-84.4
657549,2021,1,25,1/25/2021,18:35:00,1/25/21 18:35:00,3,TN,35.8847,-86.4763,35.8847,-86.4763
657550,2021,1,25,1/25/2021,22:15:00,1/25/21 22:15:00,3,AL,33.65,-87.07,33.65,-87.07
657551,2021,1,25,1/25/2021,23:03:00,1/25/21 23:03:00,3,MS,31.99,-90.36,31.99,-90.36
657552,2021,1,25,1/25/2021,23:45:00,1/25/21 23:45:00,3,MS,32.57,-89.12,32.57,-89.12
657553,2021,1,26,1/26/2021,0:46:00,1/26/21 0:46:00,3,MS,31.36,-90.52,31.36,-90.52
657554,2021,1,26,1/26/2021,14:02:00,1/26/21 14:02:00,3,SC,32.72,-79.94,32.72,-79.94
657555,2021,1,26,1/26/2021,14:05:00,1/26/21 14:05:00,3,SC,32.72,-79.97,32.72,-79.97
657556,2021,1,26,1/26/2021,14:08:00,1/26/21 14:08:00,3,SC,32.73,-79.96,32.73,-79.96
657557,2021,1,26,1/26/2021,14:14:00,1/26/21 14:14:00,3,SC,32.73,-79.96,32.73,-79.96
657558,2021,1,30,1/30/2021,15:08:00,1/30/21 15:08:00,3,OK,36.8881,-95.2697,36.8881,-95.2697
657559,2021,1,30,1/30/2021,15:38:00,1/30/21 15:38:00,3,OK,36.9655,-94.83,36.9655,-94.83
657560,2021,2,5,2/5/2021,20:48:00,2/5/21 20:48:00,3,HI,19.5,-154.95,19.4838,-154.9365
657561,2021,2,6,2/6/2021,16:10:00,2/6/21 16:10:00,3,FL,29.78,-82.48,29.78,-82.48
657562,2021,2,7,2/7/2021,0:15:00,2/7/21 0:15:00,3,GA,31.7,-82.92,31.7,-82.92
657563,2021,2,9,2/9/2021,3:10:00,2/9/21 3:10:00,3,FL,30.8595,-87.4762,30.8595,-87.4762
657564,2021,2,9,2/9/2021,3:30:00,2/9/21 3:30:00,3,FL,30.95,-87.15,30.95,-87.15
657565,2021,2,9,2/9/2021,7:56:00,2/9/21 7:56:00,3,FL,30.4,-81.94,30.4,-81.94
657566,2021,2,9,2/9/2021,8:00:00,2/9/21 8:00:00,3,FL,30.39,-81.83,30.39,-81.83
657567,2021,2,9,2/9/2021,10:04:00,2/9/21 10:04:00,3,FL,30.07,-81.93,30.07,-81.93
657568,2021,2,9,2/9/2021,10:25:00,2/9/21 10:25:00,3,FL,30.06,-81.71,30.06,-81.71
657569,2021,2,11,2/11/2021,3:57:00,2/11/21 3:57:00,3,MS,32.6671,-89.2176,32.67,-89.17
657570,2021,2,15,2/15/2021,15:15:00,2/15/21 15:15:00,3,FL,30.2,-82.64,30.2,-82.64
