om,yr,mo,dy,date,time,ts,tz,st,slat,slon,elat,elon
619624,2021,1,1,1/1/2021,13:01:00,1/1/21 13:01:00,3,GA,32.632,-84.256,32.657,-84.216
619625,2021,1,1,1/1/2021,13:18:00,1/1/21 13:18:00,3,GA,32.774,-84.093,32.782,-84.082
619626,2021,1,1,1/1/2021,13:35:00,1/1/21 13:35:00,3,GA,32.897,-83.959,32.904,-83.94
619627,2021,1,1,1/1/2021,13:51:00,1/1/21 13:51:00,3,GA,33.0057,-83.7998,33.0312,-83.7509
619628,2021,1,4,1/4/2021,15:34:00,1/4/21 15:34:00,3,CA,39.96,-122.33,39.9492,-122.334
619629,2021,1,4,1/4/2021,16:40:00,1/4/21 16:40:00,3,CA,39.9562,-122.0167,39.9749,-121.9729
619630,2021,1,6,1/6/2021,18:14:00,1/6/21 18:14:00,3,TX,29.3974,-94.9259,29.3933,-94.8928
619631,2021,1,6,1/6/2021,22:52:00,1/6/21 22:52:00,3,LA,30.2401,-91.8108,30.2549,-91.8015
619632,2021,1,25,1/25/2021,16:29:00,1/25/21 16:29:00,3,TN,35.1176,-89.6047,35.1252,-89.5844
619633,2021,1,25,1/25/2021,22:40:00,1/25/21 22:40:00,3,AL,33.5965,-86.8256,33.6598,-86.6678
619634,2021,1,27,1/27/2021,10:30:00,1/27/21 10:30:00,3,FL,30.4182,-84.5522,30.4196,-84.5381
619635,2021,1,27,1/27/2021,10:37:00,1/27/21 10:37:00,3,FL,30.4074,-84.4323,30.3705,-84.0763
619636,2021,1,30,1/30/2021,13:43:00,1/30/21 13:43:00,3,OK,36.867,-95.803,36.875,-95.783
619637,2021,1,30,1/30/2021,13:46:00,1/30/21 13:46:00,3,OK,36.8768,-95.774,36.8794,-95.7679
619638,2021,1,30,1/30/2021,13:48:00,1/30/21 13:48:00,3,OK,36.8848,-95.7617,36.8953,-95.7385
619639,2021,1,30,1/30/2021,13:56:00,1/30/21 13:56:00,3,OK,36.894,-95.6926,36.9064,-95.6593
619640,2021,2,6,2/6/2021,15:12:00,2/6/21 15:12:00,3,FL,27.7359,-80.532,27.7379,-80.5318
619641,2021,2,14,2/14/2021,0:07:00,2/14/21 0:07:00,3,FL,27.8165,-82.8038,27.832,-82.792
619642,2021,2,14,2/14/2021,13:30:00,2/14/21 13:30:00,3,FL,29.8599,-81.4972,29.8598,-81.4971
619643,2021,2,15,2/15/2021,14:02:00,2/15/21 14:02:00,3,FL,30.2211,-85.8898,30.2338,-85.8735
619644,2021,2,15,2/15/2021,14:39:00,2/15/21 14:39:00,3,FL,30.5994,-85.4557,30.6095,-85.454
619645,2021,2,15,2/15/2021,15:17:00,2/15/21 15:17:00,3,FL,30.207,-82.738,30.208,-82.734
619646,2021,2,15,2/15/2021,15:29:00,2/15/21 15:29:00,3,GA,30.89,-84.82,30.8944,-84.8133
619647,2021,2,15,2/15/2021,15:38:00,2/15/21 15:38:00,3,GA,31.3,-84.7,31.281,-84.7211
619648,2021,2,15,2/15/2021,22:34:00,2/15/21 22:34:00,3,NC,33.9118,-78.5096,34.1774,-78.3008
619649,2021,2,28,2/28/2021,18:15:00,2/28/21 18:15:00,3,LA,32.8911,-94.0091,32.898,-93.9853
619650,2021,2,28,2/28/2021,20:18:00,2/28/21 20:18:00,3,KY,36.7925,-85.0874,36.794,-85.02
