om,yr,mo,dy,date,time,ts,UTC,tz,st,slat,slon,elat,elon,tempmax,tempmin,temp,humidity,dew,precip,preciptype,windspeed,winddir,pressure,cloudcover,visibility
619624,2021,1,1,1/1/2021,13:01:00,1/1/2021 13:01,1/1/2021 19:01,3,GA,32.632,-84.256,32.657,-84.216,,,71.8,85,67,0,,13.2,180,1015.8,100,9.9
619625,2021,1,1,1/1/2021,13:18:00,1/1/2021 13:18,1/1/2021 19:18,3,GA,32.774,-84.093,32.782,-84.082,,,70.3,90.3,67.3,0,,10.6,199,1015.8,100,7.5
619626,2021,1,1,1/1/2021,13:35:00,1/1/2021 13:35,1/1/2021 19:35,3,GA,32.897,-83.959,32.904,-83.94,,,70.1,92,67.6,0.065,['rain'],9.9,192,1015.4,96.5,5.6
619627,2021,1,1,1/1/2021,13:51:00,1/1/2021 13:51,1/1/2021 19:51,3,GA,33.0057,-83.7998,33.0312,-83.7509,,,69.7,91,66.9,0.063,['rain'],10,207,1015.5,96.7,4.9
619628,2021,1,4,1/4/2021,15:34:00,1/4/2021 15:34,1/4/2021 21:34,3,CA,39.96,-122.33,39.9492,-122.334,,,55.7,84.3,51,0.002,['rain'],24.3,76,1011.8,100,9.2
619629,2021,1,4,1/4/2021,16:40:00,1/4/2021 16:40,1/4/2021 22:40,3,CA,39.9562,-122.0167,39.9749,-121.9729,,,55.9,78.5,49.3,0.023,['rain'],20.7,168,1013,100,9.3
619630,2021,1,6,1/6/2021,18:14:00,1/6/2021 18:14,1/7/2021 0:14,3,TX,29.3974,-94.9259,29.3933,-94.8928,,,67.7,73.1,58.8,0,,22,172,1010.4,100,9.9
619631,2021,1,6,1/6/2021,22:52:00,1/6/2021 22:52,1/7/2021 4:52,3,LA,30.2401,-91.8108,30.2549,-91.8015,,,59.4,78.7,52.8,0,,13.9,118,1010.8,56.1,9.9
619632,2021,1,25,1/25/2021,16:29:00,1/25/2021 16:29,1/25/2021 22:29,3,TN,35.1176,-89.6047,35.1252,-89.5844,,,71.3,77.3,63.8,0,,19.8,204,1001.6,84.5,9.9
619633,2021,1,25,1/25/2021,22:40:00,1/25/2021 22:40,1/26/2021 4:40,3,AL,33.5965,-86.8256,33.6598,-86.6678,,,70.9,81.7,65.1,0,,15.9,200,1007.5,100,9.9
