,temp,humidity,dew,precip,preciptype,windspeed,winddir,pressure,cloudcover,visibility,mean,max,min,var,nonzeros,above_threshold,label,set
1096,73.9,65.8,61.8,0.0,0,8.4,178.0,1012.6,86.1,9.9,5.627561092376709,36.5,0.0,96.59866333007812,443,443,0,train
102,69.9,89.4,66.6,0.0,0,14.5,179.0,1010.4,55.0,6.8,21.79966163635254,43.900001525878906,0.0,113.15926361083984,2285,2285,0,train
97,71.0,96.7,70.1,0.0,0,16.1,140.0,1011.2,100.0,6.2,23.642425537109375,54.0,0.0,247.3677520751953,1540,1540,0,train
294,73.5,68.3,62.4,0.0,0,8.2,157.0,1004.8,98.4,9.9,0.07613636553287506,19.30000114440918,0.0,1.157248854637146,9,9,0,val
228,75.5,79.3,68.6,0.0,0,9.8,150.0,1008.0,69.0,6.8,1.0129930973052979,39.5,0.0,31.33930778503418,76,76,0,train
2,70.1,92.0,67.6,0.065,1,9.9,192.0,1015.4,96.5,5.6,19.839643478393555,44.60000228881836,0.0,119.56039428710938,1432,1432,0,train
478,75.3,80.0,68.7,0.0,0,16.4,199.0,1014.9,23.5,9.9,0.054249998182058334,24.30000114440918,0.0,1.2046191692352295,4,4,0,test
1156,70.8,94.0,69.0,0.0,0,14.1,170.0,1002.8,90.6,9.9,11.358231544494629,43.29999923706055,0.0,152.7587890625,868,868,0,train
1337,63.3,81.7,57.6,0.0,0,9.9,148.0,992.4,100.0,9.6,0.0,0.0,0.0,0.0,0,0,0,train
267,83.3,37.7,54.8,0.0,0,9.5,229.0,996.5,0.7,9.9,1.2428125143051147,46.60000228881836,0.0,33.51433563232422,83,83,0,train
328,74.7,87.8,70.9,0.0,0,10.3,193.0,1006.3,96.8,9.6,0.01649928279221058,34.5,0.0,0.5689530372619629,1,1,0,train
117,67.7,80.2,61.4,0.0,0,9.2,115.0,1004.8,89.0,8.5,17.797744750976562,55.5,0.0,265.1527099609375,1021,1021,0,test
968,71.3,72.2,61.9,0.008,1,8.0,117.0,1002.7,100.0,9.4,34.938262939453125,51.70000076293945,21.600000381469727,37.17756652832031,1845,1845,0,train
686,78.1,98.9,77.7,0.059,1,9.9,158.0,1012.2,11.3,8.1,34.91987991333008,55.29999923706055,15.300000190734863,59.239013671875,1640,1640,0,train
195,72.4,87.1,68.4,0.0,0,12.0,151.0,1007.8,100.0,9.9,5.029869556427002,36.70000076293945,0.0,71.01528930664062,681,681,0,train
661,74.1,90.8,71.3,0.029,1,8.6,149.0,1015.5,97.3,4.7,3.7098755836486816,43.0,0.0,75.86420440673828,308,308,0,test
927,71.3,84.8,66.4,0.0,0,3.2,263.0,1016.1,35.5,9.9,0.0,0.0,0.0,0.0,0,0,0,val
286,70.1,89.5,66.8,0.095,1,5.3,264.0,1011.8,100.0,3.1,25.41529083251953,45.400001525878906,0.0,52.22872543334961,1685,1685,0,train
589,79.4,80.0,72.7,0.065,1,9.4,183.0,999.5,85.0,9.9,0.0,0.0,0.0,0.0,0,0,0,train
458,81.2,58.6,65.3,0.0,0,14.4,107.0,1016.5,6.6,9.9,35.12738037109375,61.0,0.0,252.84323120117188,1538,1538,0,val
1271,69.6,63.3,56.5,0.0,0,30.4,175.0,992.3,84.6,9.9,0.0,0.0,0.0,0.0,0,0,0,train
266,71.2,88.0,67.5,0.027,1,7.8,170.0,1004.0,100.0,9.4,21.993486404418945,48.5,0.0,155.35595703125,1838,1838,0,train
592,74.5,95.6,73.2,0.007,1,4.7,115.0,1013.9,81.7,7.5,29.825790405273438,54.5,0.0,243.74977111816406,1420,1420,0,train
270,80.3,44.6,56.8,0.0,0,7.1,236.0,995.9,27.0,9.9,12.180000305175781,57.0,0.0,271.6949768066406,710,710,0,val
449,62.0,90.1,59.1,0.0,0,9.2,130.0,1013.7,60.1,2.3,15.211421966552734,61.79999923706055,0.0,307.2174377441406,857,857,0,train
586,72.4,88.0,68.7,0.006,1,5.1,141.0,999.9,38.7,9.2,0.006666666362434626,11.199999809265137,0.0,0.07462222129106522,1,1,0,train
1074,73.3,78.7,66.3,0.0,0,21.3,141.0,1001.3,98.5,9.9,0.012154195457696915,26.80000114440918,0.0,0.32558465003967285,1,1,0,train
75,70.3,92.4,68.0,0.046,1,7.7,155.0,1007.4,92.7,6.3,32.118316650390625,59.5,0.0,103.0368423461914,2137,2137,0,train
875,82.3,70.4,71.7,0.0,0,8.1,152.0,1013.0,11.1,9.9,3.520899534225464,37.0,0.0,70.31666564941406,311,311,0,train
1166,72.4,82.4,66.7,0.06,1,20.2,199.0,1001.8,40.9,9.1,14.001708030700684,46.400001525878906,0.0,177.3082275390625,1160,1160,0,train
1069,73.7,70.7,63.6,0.0,0,16.4,177.0,1006.1,59.2,9.9,13.935771942138672,57.0,0.0,268.44732666015625,2014,2014,0,train
141,61.3,86.5,57.3,0.019,1,4.5,169.0,998.5,64.4,9.9,0.0,0.0,0.0,0.0,0,0,0,train
1191,69.3,83.2,64.0,0.009,1,18.2,226.0,1004.2,100.0,9.3,0.0060470327734947205,16.200000762939453,0.0,0.09792537242174149,1,1,0,val
308,78.6,71.8,68.7,0.0,0,3.3,91.0,1001.7,61.7,9.9,17.814483642578125,52.70000076293945,0.0,147.47396850585938,1612,1612,0,train
588,82.2,67.7,70.5,0.0,0,16.5,210.0,1003.3,90.6,9.7,3.7214157581329346,33.400001525878906,0.0,61.598873138427734,340,340,0,val
753,91.0,61.0,75.7,0.001,1,7.6,210.0,1016.5,83.1,9.9,15.739437103271484,40.20000076293945,0.0,194.73316955566406,994,994,0,val
173,69.7,91.2,67.0,0.167,1,9.7,203.0,1007.3,95.6,2.0,11.111361503601074,45.5,0.0,161.7574462890625,1509,1509,0,train
600,83.9,74.1,74.8,0.0,0,13.3,184.0,1012.0,89.2,9.9,17.780250549316406,55.400001525878906,0.0,261.9873962402344,1029,1029,0,train
1325,62.9,77.9,55.9,0.0,0,24.0,146.0,990.6,85.3,8.7,0.9326580762863159,23.100000381469727,0.0,13.708287239074707,126,126,0,train
648,74.7,96.9,73.8,0.179,1,14.9,101.0,1011.4,95.0,2.8,29.560932159423828,45.29999923706055,5.300000190734863,34.45235824584961,1848,1848,0,train
1340,58.2,86.9,54.3,0.005,1,9.9,140.0,990.5,100.0,8.5,0.0,0.0,0.0,0.0,0,0,0,test
989,76.5,76.4,68.5,0.0,0,21.0,136.0,1003.6,44.7,9.1,21.793027877807617,54.5,0.0,334.9223937988281,1111,1111,0,train
377,76.7,43.6,52.9,0.0,0,12.8,81.0,1008.0,0.0,9.9,3.172727346420288,62.10000228881836,0.0,118.77171325683594,163,163,0,test
1102,61.1,64.2,48.9,0.0,0,18.2,151.0,1000.8,50.0,9.9,5.993429660797119,35.29999923706055,0.0,111.6092758178711,554,554,0,val
1057,74.9,71.3,65.0,0.012,1,17.2,200.0,1001.3,89.4,9.9,0.0,0.0,0.0,0.0,0,0,0,train
1044,63.5,91.5,61.0,0.0,0,9.3,187.0,1009.6,47.6,9.9,0.08438774943351746,19.100000381469727,0.0,1.0089771747589111,24,24,0,train
1213,70.3,79.7,63.7,0.0,0,22.7,190.0,1008.7,89.8,9.9,3.11130952835083,32.20000076293945,0.0,56.922203063964844,315,315,0,train
1047,63.3,89.5,60.2,0.04,1,6.8,186.0,1009.7,89.0,9.6,0.0,0.0,0.0,0.0,0,0,0,val
679,80.7,82.9,75.1,0.0,0,12.8,164.0,1012.2,29.0,9.9,26.386188507080078,52.70000076293945,0.0,276.68731689453125,1276,1276,0,train
831,80.5,81.5,74.3,0.084,1,10.3,120.0,1015.3,95.7,8.8,23.970312118530273,54.10000228881836,0.0,132.66348266601562,1813,1813,0,train
194,73.6,88.2,69.9,0.0,0,12.5,155.0,1007.7,99.3,9.9,4.811172962188721,43.29999923706055,0.0,65.42840576171875,587,587,0,test
724,79.3,69.9,68.7,0.0,0,8.6,191.0,1012.6,74.6,9.9,34.96781539916992,54.79999923706055,17.899999618530273,69.02101135253906,1886,1886,0,test
1207,72.4,72.7,63.1,0.0,0,20.4,188.0,1004.9,92.2,9.9,0.0442328080534935,16.899999618530273,0.0,0.6331649422645569,6,6,0,train
331,75.4,84.0,70.2,0.0,0,10.6,195.0,1007.2,100.0,9.9,0.0,0.0,0.0,0.0,0,0,0,train
460,73.8,62.6,60.3,0.0,0,19.5,147.0,1016.1,85.4,9.9,0.0,0.0,0.0,0.0,0,0,0,train
1266,70.2,66.2,58.4,0.0,0,26.8,170.0,991.2,64.1,9.9,0.0,0.0,0.0,0.0,0,0,0,train
22,64.9,95.4,63.6,0.0,0,9.3,142.0,1007.0,100.0,8.6,0.44378048181533813,17.0,0.0,5.60380220413208,58,58,0,test
867,85.5,62.7,71.4,0.0,0,9.7,163.0,1011.2,78.9,9.9,0.0,0.0,0.0,0.0,0,0,0,train
572,77.3,84.6,72.3,0.143,1,7.4,140.0,1013.0,100.0,4.5,4.97834587097168,48.20000076293945,0.0,100.6786880493164,373,373,0,train
435,73.1,38.5,46.3,0.0,0,28.3,151.0,1014.0,27.0,9.9,22.948564529418945,56.10000228881836,0.0,207.14480590820312,1338,1338,0,test
92,73.9,70.0,63.5,0.0,0,15.2,162.0,1010.7,77.9,9.9,3.240187644958496,49.60000228881836,0.0,93.67127227783203,180,180,0,train
362,56.5,75.5,48.9,0.027,1,6.3,348.0,1016.2,40.3,9.9,14.530062675476074,53.29999923706055,0.0,219.70565795898438,888,888,0,train
1351,64.7,90.3,61.8,0.0,0,2.4,286.0,1010.0,88.6,9.1,16.888782501220703,53.20000076293945,0.0,208.20558166503906,1274,1274,0,test
221,66.9,84.9,62.3,0.019,1,13.5,148.0,1010.3,100.0,9.7,0.3075000047683716,22.100000381469727,0.0,4.090000629425049,51,51,0,val
188,71.1,58.7,55.9,0.002,1,11.7,179.0,1006.7,89.1,9.9,9.193244934082031,50.0,0.0,190.7798309326172,610,610,0,train
395,72.6,99.9,72.6,0.109,1,9.9,100.0,1014.0,100.0,8.2,36.96237564086914,54.400001525878906,14.800000190734863,67.15451049804688,1600,1600,0,test
93,67.7,90.5,64.8,0.209,1,8.9,229.0,1010.4,50.8,4.4,19.42969512939453,37.20000076293945,0.0,93.7878646850586,1489,1489,0,val
436,74.2,34.4,44.4,0.0,0,28.0,144.0,1013.5,10.8,9.9,8.984874725341797,56.10000228881836,0.0,162.59390258789062,667,667,0,val
438,69.6,69.4,59.1,0.0,0,26.8,154.0,1011.9,84.0,9.9,3.904249906539917,24.100000381469727,0.0,49.3665657043457,408,408,0,train
602,83.0,76.9,75.0,0.0,0,12.0,171.0,1012.2,92.8,9.9,15.9341459274292,55.400001525878906,0.0,235.98681640625,1003,1003,0,test
1169,67.8,82.7,62.4,0.125,1,19.2,204.0,999.7,44.8,9.9,0.12683361768722534,14.300000190734863,0.0,1.3278489112854004,29,29,0,train
279,64.6,93.8,62.8,0.023,1,5.6,195.0,1004.5,100.0,9.1,18.847328186035156,38.20000076293945,0.0,133.94781494140625,1424,1424,0,val
743,76.0,89.4,72.7,0.0,0,10.7,170.0,1008.9,97.8,9.0,18.381046295166016,45.5,0.0,116.40158081054688,1462,1462,0,val
937,72.0,81.4,65.9,0.0,0,6.7,223.0,1010.2,91.7,9.7,22.37874984741211,50.0,0.0,128.87017822265625,1418,1418,0,val
893,79.8,87.8,75.8,0.215,1,20.9,162.0,1006.7,99.6,9.6,29.606525421142578,47.10000228881836,0.0,65.9007339477539,1639,1639,0,train
529,96.2,31.4,61.0,0.0,0,12.7,184.0,1000.7,4.8,9.9,17.330249786376953,63.5,0.0,389.27166748046875,813,813,0,train
316,68.8,96.9,67.9,0.0,0,0.0,0.0,1005.3,66.8,4.4,30.302021026611328,58.0,0.0,318.9310302734375,1575,1575,0,test
901,81.5,81.1,75.2,0.0,0,6.7,137.0,1015.1,40.3,9.9,5.705609321594238,54.60000228881836,0.0,158.9045867919922,351,351,0,test
231,79.9,14.4,27.1,0.0,0,21.0,137.0,997.7,0.0,9.9,3.358430862426758,50.60000228881836,0.0,67.91807556152344,308,308,0,train
779,80.4,81.9,74.4,0.0,0,16.4,204.0,1009.0,86.2,9.9,12.503110885620117,54.0,0.0,294.1823425292969,675,675,0,train
374,69.9,62.7,56.6,0.0,0,3.4,313.0,1018.1,2.0,9.9,3.7441346645355225,43.70000076293945,0.0,75.96965026855469,332,332,0,train
1330,63.3,78.7,56.6,0.0,0,19.8,148.0,991.5,92.7,8.4,0.3314693570137024,20.100000381469727,0.0,4.78984260559082,41,41,0,train
854,70.9,70.3,60.7,0.0,0,17.5,181.0,1007.5,29.0,8.5,6.091875076293945,53.60000228881836,0.0,153.74655151367188,355,355,0,train
1128,63.5,95.1,62.1,0.056,1,12.4,229.0,1014.7,100.0,2.7,31.492916107177734,44.79999923706055,25.100000381469727,3.9632139205932617,1722,1722,0,train
451,63.7,88.1,60.1,0.0,0,8.6,100.0,1012.7,77.6,0.8,7.7649617195129395,60.20000076293945,0.0,189.7856903076172,493,493,0,train
1099,61.7,66.2,50.3,0.0,0,20.3,154.0,1002.4,69.3,9.9,25.140119552612305,61.29999923706055,0.0,279.2585754394531,1263,1263,0,val
882,79.7,82.8,74.0,0.0,0,13.3,67.0,1010.9,39.3,9.9,3.8709585666656494,54.400001525878906,0.0,117.76864624023438,223,223,0,train
876,80.9,71.7,70.9,0.0,0,10.3,180.0,1012.7,25.9,9.9,0.8978889584541321,27.399999618530273,0.0,15.29935073852539,98,98,0,train
852,84.9,76.6,76.8,0.0,0,7.4,218.0,1010.9,60.1,9.9,15.957682609558105,48.79999923706055,0.0,288.2932434082031,874,874,0,test
759,75.2,82.8,69.6,0.0,0,10.3,198.0,1006.1,97.2,9.9,3.370255708694458,41.79999923706055,0.0,82.51717376708984,217,217,0,train
774,83.4,84.6,78.2,0.0,0,11.2,201.0,1009.0,81.3,8.3,3.0920441150665283,46.60000228881836,0.0,80.72314453125,209,209,0,train
426,68.5,93.0,66.4,0.0,0,3.5,95.0,1017.1,100.0,8.9,24.63718032836914,46.900001525878906,0.0,42.98805618286133,1655,1655,0,train
942,65.9,81.7,60.2,0.01,1,10.3,90.0,1003.6,100.0,6.8,9.452961921691895,32.400001525878906,0.0,41.70041275024414,1333,1333,0,train
1087,83.5,84.2,78.2,0.004,1,16.3,203.0,1009.0,42.9,8.9,10.00514030456543,45.20000076293945,0.0,152.09426879882812,860,860,0,train
575,81.2,40.7,55.1,0.0,0,7.1,103.0,1007.5,52.2,9.9,9.572688102722168,60.60000228881836,0.0,269.8090515136719,455,455,0,train
230,80.1,14.1,26.8,0.0,0,21.5,142.0,997.7,0.0,9.9,1.4268451929092407,30.600000381469727,0.0,19.42215347290039,177,177,0,train
1246,73.0,55.6,56.2,0.0,0,31.3,182.0,991.3,80.6,8.2,0.0,0.0,0.0,0.0,0,0,0,test
368,92.0,55.9,74.0,0.0,0,9.2,219.0,1010.8,28.3,9.9,0.8426828980445862,41.900001525878906,0.0,18.160898208618164,71,71,0,val
169,66.0,95.5,64.7,0.249,1,13.6,193.0,1026.4,65.9,5.3,31.357677459716797,51.10000228881836,0.0,72.51970672607422,1660,1660,0,train
606,79.5,85.8,74.8,0.0,0,13.0,196.0,1012.9,67.0,9.9,11.428935050964355,52.10000228881836,0.0,275.48345947265625,661,661,0,train
688,78.8,99.9,78.8,0.0,0,9.2,150.0,1012.2,0.1,8.7,26.448413848876953,52.29999923706055,0.0,135.57542419433594,2180,2180,0,train
167,69.5,93.6,67.5,0.023,1,11.2,183.0,1016.0,100.0,9.9,32.13728332519531,57.10000228881836,0.0,126.67333221435547,1901,1901,0,val
32,65.0,75.9,57.2,0.0,0,28.2,193.0,1006.5,56.8,9.9,3.6325581073760986,32.10000228881836,0.0,62.797176361083984,337,337,0,train
520,75.1,93.6,73.1,0.023,1,2.6,78.0,1020.4,95.0,7.8,17.290035247802734,52.20000076293945,0.0,190.90296936035156,1297,1297,0,val
751,74.9,84.9,70.0,0.0,0,5.8,169.0,1018.0,100.0,9.9,0.0,0.0,0.0,0.0,0,0,0,train
821,84.2,75.0,75.4,0.013,1,11.4,139.0,1015.3,92.7,9.9,13.897554397583008,52.900001525878906,0.0,346.1242980957031,726,726,0,test
350,82.9,69.6,72.0,0.0,0,7.5,196.0,1007.8,90.8,9.9,26.70558738708496,52.79999923706055,0.0,231.87295532226562,1785,1785,0,val
939,74.5,81.0,68.3,0.023,1,2.1,285.0,1013.6,92.4,9.9,2.4864792823791504,51.70000076293945,0.0,81.8263931274414,140,140,0,train
699,87.1,37.6,58.1,0.0,0,7.2,244.0,1011.9,0.0,9.9,3.325725793838501,29.5,0.0,36.161739349365234,443,443,0,train
883,79.6,82.4,73.8,0.0,0,12.6,64.0,1010.9,35.7,9.9,3.1484129428863525,54.400001525878906,0.0,109.96856689453125,167,167,0,train
234,83.0,10.4,21.8,0.0,0,28.9,210.0,997.0,0.0,9.9,0.4027293920516968,14.40000057220459,0.0,4.0876994132995605,68,68,0,val
935,75.5,78.0,68.1,0.0,0,12.5,123.0,1004.8,79.7,9.9,18.87947654724121,40.400001525878906,0.0,98.0428466796875,1432,1432,0,val
83,65.1,84.2,60.2,0.0,0,10.0,96.0,999.3,37.7,9.9,3.6669342517852783,38.70000076293945,0.0,64.55891418457031,915,915,0,val
232,80.1,14.1,26.8,0.0,0,21.6,142.0,997.7,0.0,9.9,1.24546480178833,25.30000114440918,0.0,15.4609375,174,174,0,train
703,77.4,79.3,70.5,0.0,0,6.9,136.0,1012.6,44.9,9.2,6.6436262130737305,57.400001525878906,0.0,226.46507263183594,368,368,0,train
881,76.0,84.8,71.1,0.007,1,2.9,65.0,1013.8,0.0,9.9,1.0555624961853027,35.20000076293945,0.0,28.224512100219727,64,64,0,val
422,69.8,77.9,62.6,0.0,0,9.2,150.0,1015.2,89.0,9.9,26.85293960571289,52.10000228881836,0.0,114.67160034179688,1492,1492,0,val
718,78.2,89.9,75.0,0.0,0,2.3,258.0,1012.5,81.1,9.9,21.186262130737305,44.900001525878906,0.0,43.330413818359375,1818,1818,0,train
1158,71.9,83.8,66.7,0.027,1,17.9,190.0,1001.6,62.3,6.6,14.5156888961792,49.900001525878906,0.0,233.8718719482422,870,870,0,val
795,78.6,83.3,73.1,0.0,0,5.8,202.0,1006.1,88.8,9.9,2.925203323364258,40.400001525878906,0.0,58.027313232421875,278,278,0,test
832,75.5,88.3,71.8,0.471,1,12.3,273.0,1015.2,95.9,2.4,17.202804565429688,53.20000076293945,0.0,373.33966064453125,791,791,0,test
437,68.1,70.0,58.0,0.0,0,25.4,159.0,1010.3,89.0,9.9,15.151812553405762,65.9000015258789,0.0,349.1519470214844,739,739,0,train
891,76.8,94.2,74.9,0.533,1,27.8,170.0,1008.7,52.0,4.9,34.30597686767578,50.400001525878906,14.699999809265137,50.991477966308594,1640,1640,0,train
1190,70.5,82.1,64.8,0.006,1,19.8,207.0,1003.8,100.0,9.2,0.03912854194641113,16.100000381469727,0.0,0.48354077339172363,8,8,0,train
339,71.3,99.3,71.1,0.028,1,6.2,218.0,1011.2,94.9,5.4,9.99695110321045,52.0,0.0,230.1129608154297,610,610,0,train
768,76.0,85.6,71.4,0.032,1,10.8,202.0,1009.4,97.7,9.9,9.718449592590332,52.900001525878906,0.0,219.1054229736328,675,675,0,train
763,74.9,92.6,72.6,0.008,1,6.9,188.0,1008.5,53.0,9.6,18.503856658935547,56.5,0.0,287.6214599609375,1176,1176,0,train
545,91.0,39.0,62.6,0.0,0,26.4,140.0,997.0,0.0,7.3,25.282073974609375,64.0999984741211,0.0,365.8887939453125,1207,1207,0,test
